term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,301,0.0602,299,0.0598,5000
new,285,0.057,279,0.0558,5000
2025,230,0.046,228,0.0456,5000
ai,139,0.0278,130,0.026,5000
day,124,0.0248,120,0.024,5000
week,120,0.024,117,0.0234,5000
shutdown,107,0.0214,107,0.0214,5000
announces,98,0.0196,98,0.0196,5000
gaza,97,0.0194,97,0.0194,5000
government,94,0.0188,94,0.0188,5000
prime,83,0.0166,82,0.0164,5000
report,81,0.0162,81,0.0162,5000
back,78,0.0156,78,0.0156,5000
season,76,0.0152,74,0.0148,5000
deal,74,0.0148,74,0.0148,5000
october,72,0.0144,71,0.0142,5000
market,71,0.0142,67,0.0134,5000
big,70,0.014,69,0.0138,5000
high,70,0.014,70,0.014,5000
federal,69,0.0138,68,0.0136,5000
football,69,0.0138,69,0.0138,5000
oct,69,0.0138,69,0.0138,5000
vs,67,0.0134,66,0.0132,5000
county,65,0.013,63,0.0126,5000
world,65,0.013,64,0.0128,5000
health,64,0.0128,63,0.0126,5000
police,64,0.0128,62,0.0124,5000
israel,63,0.0126,62,0.0124,5000
game,62,0.0124,62,0.0124,5000
time,61,0.0122,61,0.0122,5000
amazon,61,0.0122,61,0.0122,5000
man,60,0.012,59,0.0118,5000
life,59,0.0118,58,0.0116,5000
peace,59,0.0118,59,0.0118,5000
leaders,58,0.0116,58,0.0116,5000
fall,57,0.0114,57,0.0114,5000
national,57,0.0114,57,0.0114,5000
win,56,0.0112,55,0.011,5000
city,55,0.011,55,0.011,5000
school,55,0.011,55,0.011,5000
million,54,0.0108,53,0.0106,5000
global,54,0.0108,54,0.0108,5000
exclusive,52,0.0104,52,0.0104,5000
live,51,0.0102,50,0.01,5000
end,51,0.0102,51,0.0102,5000
down,50,0.01,50,0.01,5000
house,50,0.01,50,0.01,5000
people,50,0.01,49,0.0098,5000
free,49,0.0098,49,0.0098,5000
old,49,0.0098,47,0.0094,5000
2026,49,0.0098,49,0.0098,5000
deals,49,0.0098,48,0.0096,5000
power,49,0.0098,49,0.0098,5000
shooting,48,0.0096,46,0.0092,5000
woman,48,0.0096,47,0.0094,5000
president,47,0.0094,47,0.0094,5000
star,47,0.0094,47,0.0094,5000
program,47,0.0094,47,0.0094,5000
war,46,0.0092,46,0.0092,5000
results,45,0.009,45,0.009,5000
food,45,0.009,45,0.009,5000
administration,45,0.009,45,0.009,5000
dies,44,0.0088,44,0.0088,5000
long,44,0.0088,44,0.0088,5000
family,44,0.0088,44,0.0088,5000
death,43,0.0086,43,0.0086,5000
work,42,0.0084,42,0.0084,5000
so,42,0.0084,39,0.0078,5000
court,42,0.0084,41,0.0082,5000
love,41,0.0082,40,0.008,5000
watch,41,0.0082,41,0.0082,5000
support,41,0.0082,41,0.0082,5000
key,41,0.0082,37,0.0074,5000
charlie,40,0.008,40,0.008,5000
plan,40,0.008,40,0.008,5000
set,40,0.008,40,0.008,5000
chicago,40,0.008,40,0.008,5000
group,40,0.008,40,0.008,5000
chief,39,0.0078,37,0.0074,5000
hamas,39,0.0078,38,0.0076,5000
un,39,0.0078,38,0.0076,5000
former,39,0.0078,39,0.0078,5000
products,39,0.0078,39,0.0078,5000
business,38,0.0076,38,0.0076,5000
ice,38,0.0076,38,0.0076,5000
20,38,0.0076,38,0.0076,5000
kirk,37,0.0074,37,0.0074,5000
real,37,0.0074,37,0.0074,5000
york,37,0.0074,36,0.0072,5000
review,37,0.0074,37,0.0074,5000
michigan,37,0.0074,37,0.0074,5000
start,36,0.0072,36,0.0072,5000
launches,36,0.0072,36,0.0072,5000
news,36,0.0072,36,0.0072,5000
billion,36,0.0072,36,0.0072,5000
talks,36,0.0072,36,0.0072,5000
mark,36,0.0072,34,0.0068,5000
military,35,0.007,35,0.007,5000
judge,35,0.007,35,0.007,5000
dead,34,0.0068,34,0.0068,5000
