term,count
biden,489
july,392
trump,390
court,282
supreme,254
election,165
immunity,156
time,152
summer,134
people,129
right,128
house,125
ruling,123
city,113
police,104
gaza,95
back,93
week,90
president,86
award,85
black,85
heat,85
report,77
american,75
debate,75
fourth,74
star,74
million,73
plan,73
down,72
need,70
fire,69
beryl,66
video,66
deal,65
open,64
democrat,61
share,55
party,52
hurricane,49
israel,49
game,48
water,46
woman,46
campaign,45
county,44
death,44
team,44
watch,44
help,41
media,40
school,40
history,39
power,38
park,37
race,37
return,37
rule,37
talk,37
world,37
high,36
official,36
former,34
free,34
york,34
family,33
record,33
dead,32
health,32
change,31
good,31
israeli,30
street,30
west,30
