term,term_count,term_ratio,doc_count,doc_ratio,sample_size
new,567,0.113,527,0.105,5000
2025,275,0.055,275,0.055,5000
2024,185,0.037,185,0.037,5000
trump,164,0.0328,164,0.0328,5000
orleans,120,0.024,120,0.024,5000
attack,112,0.0224,112,0.0224,5000
carter,102,0.0204,102,0.0204,5000
jimmy,95,0.019,95,0.019,5000
man,94,0.0188,93,0.0186,5000
win,91,0.0182,91,0.0182,5000
people,84,0.0168,84,0.0168,5000
health,83,0.0166,79,0.0158,5000
watch,81,0.0162,81,0.0162,5000
south,79,0.0158,78,0.0156,5000
bowl,73,0.0146,72,0.0144,5000
world,70,0.014,70,0.014,5000
dies,70,0.014,70,0.014,5000
day,65,0.013,60,0.012,5000
season,64,0.0128,64,0.0128,5000
time,63,0.0126,63,0.0126,5000
vs,62,0.0124,62,0.0124,5000
biden,61,0.0122,61,0.0122,5000
january,60,0.012,60,0.012,5000
u.s.,60,0.012,60,0.012,5000
back,59,0.0118,58,0.0116,5000
gaza,58,0.0116,57,0.0114,5000
game,57,0.0114,56,0.0112,5000
president,56,0.0112,56,0.0112,5000
week,55,0.011,53,0.0106,5000
city,54,0.0108,54,0.0108,5000
news,54,0.0108,54,0.0108,5000
jan,53,0.0106,53,0.0106,5000
police,53,0.0106,53,0.0106,5000
women,52,0.0104,52,0.0104,5000
star,51,0.0102,51,0.0102,5000
winter,51,0.0102,51,0.0102,5000
killed,51,0.0102,51,0.0102,5000
life,51,0.0102,50,0.01,5000
football,51,0.0102,51,0.0102,5000
eve,50,0.01,48,0.0096,5000
death,48,0.0096,48,0.0096,5000
million,48,0.0096,48,0.0096,5000
dead,48,0.0096,48,0.0096,5000
woman,47,0.0094,47,0.0094,5000
former,46,0.0092,46,0.0092,5000
golden,45,0.009,45,0.009,5000
ai,43,0.0086,43,0.0086,5000
house,43,0.0086,42,0.0084,5000
crash,42,0.0084,42,0.0084,5000
county,41,0.0082,39,0.0078,5000
end,41,0.0082,41,0.0082,5000
free,41,0.0082,41,0.0082,5000
truck,41,0.0082,41,0.0082,5000
record,41,0.0082,41,0.0082,5000
nfl,41,0.0082,40,0.008,5000
tv,40,0.008,40,0.008,5000
down,40,0.008,40,0.008,5000
high,40,0.008,39,0.0078,5000
playoff,40,0.008,39,0.0078,5000
help,40,0.008,40,0.008,5000
china,38,0.0076,38,0.0076,5000
weather,37,0.0074,36,0.0072,5000
school,37,0.0074,36,0.0072,5000
old,37,0.0074,37,0.0074,5000
korea,37,0.0074,37,0.0074,5000
ap,36,0.0072,36,0.0072,5000
cancer,36,0.0072,35,0.007,5000
big,36,0.0072,36,0.0072,5000
basketball,36,0.0072,36,0.0072,5000
israeli,36,0.0072,36,0.0072,5000
snow,35,0.007,32,0.0064,5000
report,35,0.007,35,0.007,5000
loss,35,0.007,35,0.007,5000
est,35,0.007,35,0.007,5000
behind,34,0.0068,34,0.0068,5000
war,34,0.0068,34,0.0068,5000
red,34,0.0068,34,0.0068,5000
set,34,0.0068,34,0.0068,5000
fire,34,0.0068,34,0.0068,5000
york,33,0.0066,33,0.0066,5000
live,33,0.0066,33,0.0066,5000
globes,33,0.0066,33,0.0066,5000
least,33,0.0066,33,0.0066,5000
team,32,0.0064,32,0.0064,5000
oregon,32,0.0064,31,0.0062,5000
right,32,0.0064,30,0.006,5000
love,32,0.0064,32,0.0064,5000
black,32,0.0064,32,0.0064,5000
vegas,32,0.0064,32,0.0064,5000
reveals,31,0.0062,31,0.0062,5000
east,31,0.0062,31,0.0062,5000
deadly,31,0.0062,31,0.0062,5000
need,31,0.0062,31,0.0062,5000
rose,31,0.0062,30,0.006,5000
air,31,0.0062,30,0.006,5000
plane,30,0.006,30,0.006,5000
food,30,0.006,30,0.006,5000
list,30,0.006,30,0.006,5000
injured,30,0.006,30,0.006,5000
cybertruck,30,0.006,30,0.006,5000
